CH1,CH2,t
6.000000052154064178e-03,-7.999999797903001308e-05,2.459999999999999622e-04
4.000000189989805222e-03,-1.599999959580600262e-04,2.469999999999999865e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.480000000000000108e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.489999999999999809e-04
0.000000000000000000e+00,7.999999797903001308e-05,2.500000000000000052e-04
6.000000052154064178e-03,0.000000000000000000e+00,2.509999999999999753e-04
4.000000189989805222e-03,-3.999999898951500654e-05,2.519999999999999996e-04
6.000000052154064178e-03,-3.999999898951500654e-05,2.529999999999999697e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.539999999999999940e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.549999999999999641e-04
6.000000052154064178e-03,0.000000000000000000e+00,2.559999999999999884e-04
0.000000000000000000e+00,-7.999999797903001308e-05,2.570000000000000127e-04
6.000000052154064178e-03,-3.999999898951500654e-05,2.579999999999999828e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.590000000000000071e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.599999999999999772e-04
4.000000189989805222e-03,3.999999898951500654e-05,2.610000000000000015e-04
0.000000000000000000e+00,-1.199999969685450196e-04,2.619999999999999716e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.629999999999999959e-04
6.000000052154064178e-03,0.000000000000000000e+00,2.639999999999999660e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.649999999999999903e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.660000000000000146e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.669999999999999847e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.680000000000000090e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.689999999999999791e-04
0.000000000000000000e+00,-7.999999797903001308e-05,2.700000000000000035e-04
6.000000052154064178e-03,1.199999969685450196e-04,2.709999999999999735e-04
0.000000000000000000e+00,7.999999797903001308e-05,2.719999999999999979e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.729999999999999680e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.739999999999999923e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.749999999999999624e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.759999999999999867e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.770000000000000110e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.779999999999999811e-04
2.000000094994902611e-03,-1.599999959580600262e-04,2.790000000000000054e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.799999999999999755e-04
6.000000052154064178e-03,-7.999999797903001308e-05,2.809999999999999998e-04
0.000000000000000000e+00,-3.999999898951500654e-05,2.819999999999999699e-04
0.000000000000000000e+00,7.999999797903001308e-05,2.829999999999999942e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.839999999999999643e-04
